"country","country_name","iso_name","lat_center","long_center","year","gdp_pps","unemployment","sucide_rate_total","sucide_rate_female","sucide_rate_male","sucide_rate_total_growth"
"Slovakia","Slovakia","SVK",48.669026,19.699024,2011,76,13.2,10.6,2.43,20.48,NA
"Slovakia","Slovakia","SVK",48.669026,19.699024,2012,77,13.6,11.12,2.65,21.08,4.9
"Slovakia","Slovakia","SVK",48.669026,19.699024,2013,78,13.9,12.07,3.12,22.94,8.5
"Slovakia","Slovakia","SVK",48.669026,19.699024,2014,78,12.9,10.74,2.97,20.34,-11
"Slovakia","Slovakia","SVK",48.669026,19.699024,2015,78,11.3,9.19,2.98,16.66,-14.4
"Finland","Finland","FIN",61.92411,25.748151,2011,119,7.1,16.91,7.32,27.63,NA
"Finland","Finland","FIN",61.92411,25.748151,2012,117,7,16.14,7.79,25.29,-4.6
"Finland","Finland","FIN",61.92411,25.748151,2013,115,7.5,16.36,8.09,25.41,1.4
"Finland","Finland","FIN",61.92411,25.748151,2014,113,8,14.55,7.01,22.79,-11.1
"Finland","Finland","FIN",61.92411,25.748151,2015,111,8.8,13.46,6.2,21.26,-7.5
"Sweden","Sweden","SWE",60.128161,18.643501,2011,130,6.9,11.99,6.88,17.3,NA
"Sweden","Sweden","SWE",60.128161,18.643501,2012,130,7.1,12.39,7.16,18.07,3.3
"Sweden","Sweden","SWE",60.128161,18.643501,2013,129,7.1,13.03,7.69,18.64,5.2
"Sweden","Sweden","SWE",60.128161,18.643501,2014,127,7.1,12.13,7.62,17.04,-6.9
"Sweden","Sweden","SWE",60.128161,18.643501,2015,129,6.7,12.3,6.85,18.09,1.4
"Iceland","Iceland","ISL",64.963051,-19.020835,2011,119,6.4,8.85,3.37,14.29,NA
"Iceland","Iceland","ISL",64.963051,-19.020835,2012,121,5.3,11.61,7.15,16.71,31.2
"Iceland","Iceland","ISL",64.963051,-19.020835,2013,123,4.8,17.1,9.72,24.68,47.3
"Iceland","Iceland","ISL",64.963051,-19.020835,2014,124,4.4,13.98,6.93,21.49,-18.2
"Iceland","Iceland","ISL",64.963051,-19.020835,2015,129,3.5,13.06,7.51,18.23,-6.6
